"","AcqYear","Born","Capture","Rescue","Total"
"1",1938,0,5,0,5
"2",1939,0,7,0,7
"3",1940,0,0,0,0
"4",1941,0,0,0,0
"5",1942,0,0,0,0
"6",1943,0,0,0,0
"7",1944,0,0,0,0
"8",1945,0,0,0,0
"9",1946,0,3,0,3
"10",1947,1,0,0,1
"11",1948,1,0,4,5
"12",1949,1,3,0,4
"13",1950,0,2,1,3
"14",1951,0,1,0,1
"15",1952,0,2,0,2
"16",1953,4,1,0,5
"17",1954,1,0,0,1
"18",1955,4,7,0,11
"19",1956,3,5,0,8
"20",1957,0,4,1,5
"21",1958,1,4,1,6
"22",1959,2,4,0,6
"23",1960,3,13,0,16
"24",1961,0,10,0,10
"25",1962,0,9,0,9
"26",1963,2,29,1,32
"27",1964,4,57,0,61
"28",1965,2,34,3,39
"29",1966,2,42,4,48
"30",1967,4,39,0,43
"31",1968,3,50,0,53
"32",1969,0,52,0,52
"33",1970,1,50,0,51
"34",1971,4,60,1,65
"35",1972,4,174,0,178
"36",1973,11,39,1,51
"37",1974,5,45,2,52
"38",1975,15,63,0,78
"39",1976,12,27,5,44
"40",1977,9,59,2,70
"41",1978,10,66,2,78
"42",1979,10,29,1,40
"43",1980,11,52,3,66
"44",1981,15,24,2,41
"45",1982,10,25,4,39
"46",1983,15,43,6,64
"47",1984,20,68,3,91
"48",1985,22,25,1,48
"49",1986,23,13,8,44
"50",1987,16,51,1,68
"51",1988,18,70,2,90
"52",1989,16,29,9,54
"53",1990,28,6,1,35
"54",1991,29,0,4,33
"55",1992,39,4,3,46
"56",1993,40,3,4,47
"57",1994,33,1,1,35
"58",1995,22,0,2,24
"59",1996,29,1,8,38
"60",1997,19,1,3,23
"61",1998,30,0,7,37
"62",1999,29,0,0,29
"63",2000,36,0,7,43
"64",2001,27,0,1,28
"65",2002,32,0,7,39
"66",2003,30,0,3,33
"67",2004,26,0,10,36
"68",2005,30,0,4,34
"69",2006,23,0,4,27
"70",2007,42,0,3,45
"71",2008,23,0,1,24
"72",2009,32,0,4,36
"73",2010,34,0,2,36
"74",2011,24,0,5,29
"75",2012,20,0,5,25
"76",2013,23,0,0,23
"77",2014,24,0,2,26
"78",2015,20,0,2,22
"79",2016,18,0,1,19
"80",2017,1,0,0,1
