"","BirthYear","count"
"1","1965",1
"2","1966",1
"3","1976",1
"4","1977",2
"5","1988",2
"6","1990",1
"7","1991",2
"8","1993",1
"9","1999",1
"10","2001",1
"11","2002",1
"12","2004",1
"13","2005",1
"14","2006",1
"15","2007",1
"16","2010",2
"17","2013",2
"18","2014",1
"19","2017",1
