"","Age","count","animals","status"
"1",0,-380,"All","Dead"
"2",1,-31,"All","Dead"
"3",2,-39,"All","Dead"
"4",3,-37,"All","Dead"
"5",4,-44,"All","Dead"
"6",5,-43,"All","Dead"
"7",6,-36,"All","Dead"
"8",7,-45,"All","Dead"
"9",8,-29,"All","Dead"
"10",9,-36,"All","Dead"
"11",10,-39,"All","Dead"
"12",11,-38,"All","Dead"
"13",12,-49,"All","Dead"
"14",13,-38,"All","Dead"
"15",14,-35,"All","Dead"
"16",15,-28,"All","Dead"
"17",16,-34,"All","Dead"
"18",17,-23,"All","Dead"
"19",18,-23,"All","Dead"
"20",19,-25,"All","Dead"
"21",20,-13,"All","Dead"
"22",21,-26,"All","Dead"
"23",22,-22,"All","Dead"
"24",23,-22,"All","Dead"
"25",24,-21,"All","Dead"
"26",25,-20,"All","Dead"
"27",26,-12,"All","Dead"
"28",27,-9,"All","Dead"
"29",28,-11,"All","Dead"
"30",29,-11,"All","Dead"
"31",30,-10,"All","Dead"
"32",31,-8,"All","Dead"
"33",32,-16,"All","Dead"
"34",33,-9,"All","Dead"
"35",34,-12,"All","Dead"
"36",35,-7,"All","Dead"
"37",36,-8,"All","Dead"
"38",37,-3,"All","Dead"
"39",38,-7,"All","Dead"
"40",39,-6,"All","Dead"
"41",40,-9,"All","Dead"
"42",41,-7,"All","Dead"
"43",42,-2,"All","Dead"
"44",43,-1,"All","Dead"
"45",44,-5,"All","Dead"
"46",45,-4,"All","Dead"
"47",46,-3,"All","Dead"
"48",47,-3,"All","Dead"
"49",50,-1,"All","Dead"
"50",51,-3,"All","Dead"
"51",53,-1,"All","Dead"
"52",61,-1,"All","Dead"
"53",0,1,"All","Alive"
"54",1,15,"All","Alive"
"55",2,17,"All","Alive"
"56",3,18,"All","Alive"
"57",4,18,"All","Alive"
"58",5,19,"All","Alive"
"59",6,19,"All","Alive"
"60",7,24,"All","Alive"
"61",8,20,"All","Alive"
"62",9,15,"All","Alive"
"63",10,29,"All","Alive"
"64",11,9,"All","Alive"
"65",12,23,"All","Alive"
"66",13,20,"All","Alive"
"67",14,20,"All","Alive"
"68",15,19,"All","Alive"
"69",16,14,"All","Alive"
"70",17,21,"All","Alive"
"71",18,14,"All","Alive"
"72",19,11,"All","Alive"
"73",20,10,"All","Alive"
"74",21,10,"All","Alive"
"75",22,5,"All","Alive"
"76",23,11,"All","Alive"
